id;title;date;
88;Молодь запрошують до участь до участі у конкурсі з екології;2021-08-31 05:37:18;
89;Наслідки негоди на Чернігівщині;2021-08-31 06:22:42;
90;"Фестиваль ""Життя в стилі Еко""";2021-08-31 19:44:14;
91;Новий навчальний рік радощі й перешкоди;2021-09-01 10:06:16;
92;В Україні стартувала податкова амністія;2021-09-01 12:12:02;
93;Єдиний квиток в Чернігові та 35 маршрут;2021-09-01 13:44:49;
94;Чернігівський експертно-технічний центр «Держпраці» хочуть продати;2021-09-02 06:58:05;
95;В области появятся 4 новых видеокамеры фиксации нарушений ПДД;2021-09-03 06:08:29;
96;Чи буде працювати Прилуцька районна лікарня?;2021-09-03 13:22:10;
97;Урбан Фест у Прилуках;2021-09-04 10:27:10;
98;Чернігів виходить на Всеукраїнський марш за тварин 2021!;2021-09-04 11:06:24;
99;Вакцинація - примус неправомірний. Роз’яснення від міністерства економіки України;2021-09-05 07:14:32;
100;Бізнес Фест пройшов у Чернігові (фотозвіт);2021-09-05 18:48:48;
101;Чернігівську жіночу виправну колонію №44 ліквідують;2021-09-07 07:00:16;
102;Чернігівщина ймовірно перейде на дистанційну освіту;2021-09-07 11:03:12;
103;Статус безробітного за зловживання планують покарання;2021-09-07 11:25:17;
104;Маршрути автобусу №18, 35 та 47 можуть зникнути;2021-09-08 05:11:22;
105;Дні відкритих дверей у міських дитячих клубах за місцем проживання;2021-09-08 10:22:27;
106;Як цього сезону платитимемо за тепло?;2021-09-09 07:22:45;
107;Талалаївка готується відзначити день села;2021-09-09 07:47:00;
108;Чернівщина долучається до контролю якості молока;2021-09-09 04:40:00;
109;Ічнянський районний суд у зв’язку з недостатнім фінансуванням не має можливості надсилати копії судових рішень;2021-09-10 08:06:27;
110;Рятувальники змагалися у легкоатлетичному забігу;2021-09-10 11:19:19;
111;Верховна Рада запретила сексизм в рекламе;2021-09-10 11:27:47;
112;Сьогодні в Данії відмінили всі карантинні заходи;2021-09-10 12:22:37;
113;Майстерню з переробки пластику відкрито в Чернігові;2021-09-11 07:45:07;
114;На Чернігівщині протікає найчистіша річка Європи;2021-09-12 05:17:08;
115;Що робити бізнесу якщо застосують локдаун;2021-09-13 05:30:21;
116;Творчість прилуцької поетеси увійшла до тридцятки кращих в Україні;2021-09-13 05:58:47;
117;Карамель-паті в Корюківці фотозвіт;2021-09-13 09:38:02;
118;«Укргидроэнерго» готовится производить «зеленый» водород;2021-09-14 07:35:17;
119;Колишня чернігівська колонія №44 може стати притулком для біженців з Афганістану.;2021-09-14 09:54:00;
120;"""За життя вільне від карантинної брехні та обмежень"" - одне з гасел мітингу що проводитиметься в Чернігові 18 вересня";2021-09-15 06:45:46;
121;16 вересня Online-аукціон з оренди державного майна у Ніжині;2021-09-14 14:22:35;
122;За борг у 72 гривні погрожують припинити газопостачання;2021-09-14 17:14:26;
123;Волонтери відновлюють мозаіку 80-х років;2021-09-15 05:36:48;
124;Аукціон з оренди державного майна в Чернігові;2021-09-15 05:50:46;
125;Конкурс на участь у навчальній програмі «Нові можливості громад в управлінні землями»;2021-09-15 05:54:43;
126;Уроки природи - чому зникають озера на Чернігівщині;2021-09-16 05:53:55;
127;Завтра 17 вересня в Чернігові публічне обговорення тарифів на проїзд;2021-09-16 10:00:12;
128;Виставка народного містецтва відкрилась у чернігові: вишивка, вибійка, писанки та ляльки.;2021-09-17 05:39:35;
129;З початку року піротехніки ДСНС України вилучили та знищили майже 62 тисячі вибухонебезпечних предметів;2021-09-17 06:01:41;
130;Министр Ляшко считает что детей нужно вакцинировать от COVID;2021-09-17 07:26:56;
131;Без электричество остался 71 населенный пункт в двух областях;2021-09-18 13:21:35;
132;В США рекомендуют  уже третью дозу Pfizer для людей старше 65 лет;2021-09-18 13:40:46;
133;Відбулося перше засідання Ради територіальних громад Чернігівщини;2021-09-19 07:37:57;
134;Громада Нового Білоуса не бажає будівництва асфальтного заводу на своїй території;2021-09-19 08:07:37;
135;Урочисті заходи до дня міста в Чернігові;2021-09-19 10:37:19;
136;Хто буде оператором автоматизованої системи обліку оплати проїзду в громадському транспорті Чернігова?;2021-09-19 11:27:06;
137;“МОЛИТВИ ЗА УКРАЇНУ” У БОРИСОГЛІБСЬКОМУ СОБОРІ;2021-09-20 05:25:14;
138;Борзна відзначила день міста;2021-09-20 06:09:16;
139;Мітинг проти порушення Конституційних Прав Українців в рамках карантинних заходів відбувся в Чернігові 18.09.2021;2021-09-20 12:55:59;
140;Владислав Степура з Борзни став бронзовим призером з пауерліфтингу;2021-09-20 14:50:18;
141;2 жовтня в Седніві літературно-мистецьке свято «Седнівська осінь»;2021-09-21 06:31:43;
142;В багатоповерхівці Чернігова відключено газ;2021-09-21 06:51:26;
143;Черниговская винодельня;;
144;Фермери Чернігівщини втратят 30-40% врожаю картоплі;2021-09-21 07:19:50;
145;"У конкурсі кращій товар Чернігівщини перемогли пластивці ТМ ""Добродія""";2021-09-21 09:09:05;
146;На початку жовтня стартує освітній проєкт «Open partes: комунікація без меж»;2021-09-21 14:43:03;
147;"""Жовта зона"" з 23 вересня";2021-09-22 07:15:27;
148;Мер Чернігова звернувася до Мінстра розвитку громад за роз’ясненнями щодо встановлення тарифів;2021-09-22 09:00:17;
149;"Завершено будівництво скейт парку у ""Березовому гаю""";2021-09-22 12:37:08;
150;Господар з Хмельниччини зробив собі диво-лопату;2021-09-22 17:56:25;
151;Чи буде олія дешевшою ніж 60 грн за літр?;2021-09-23 05:42:57;
152;2-3 жовтня відбудеться Чемпіонат України з середньовічного бою «Beremytske KnightFest»;2021-09-23 06:30:44;
153;Депутатів не можна змушувати вакцинуватись;2021-09-23 12:39:48;
154;Планшети для багатодітних родин Чернігівщини від Чернігівської ОДА;2021-09-23 17:38:36;
155;Чернігівського письменника Сергія Дзюбу нагородили в Німеччині;2021-09-23 18:11:40;
156;В Україні закрили понад 40 виробників вершкового масла.;2021-09-24 06:13:19;
157;В Україні хочуть заборонити використання пальмової олії в продуктах;2021-09-25 06:11:30;
158;"В Україні відновили легендарний сорт огірка ""Ніжинський""";2021-09-24 14:00:42;
159;Другий в Чернігівський області WIM-майданчик для автоматичного зважування вантажівок у русі.;2021-09-25 06:37:20;
160;У жителя Чернигова в гараже мины, пулеметы и автоматы Калашникова;2021-09-25 15:29:22;
161;На території біля с. Бирине Новгород-Сіверського району: тривають планові роботи по суцільному розмінуванню.;2021-09-26 06:28:33;
162;У Батурині зніматимуть кіно;2021-09-26 06:36:34;
163;Пішов по гриби та не повернувся - Поблизу Чернігова в лісі шукають чоловіка;2021-09-27 05:19:41;
164;«Лебеді над моїм життям» - друга збірка поетеси Марії Пузан, що живе в селі Піски Іванівської ОТГ Чернігівської області;2021-09-27 05:26:36;
165;Ичнянский молочно-консервный завод хотят купить;2021-09-27 05:40:28;
166;250 тисяч гривень спрямували до Прилук Депутати Чернігівської облради. Кошти підуть на адресну матеріальну допомогу та благоустрій;2021-09-27 05:56:53;
167;Мігранти з країн Азії повільно заміщують українців, що виїхали на заробітки за кордон;2021-09-27 06:36:16;
168;Чемпіонат з рукопашного бою відбувся в Чернігові;2021-09-28 05:39:51;
169;Чернігівські школи збирають пластик;2021-09-28 06:04:58;
170;ГРИБИ ІЗ ЗОНИ ВІДЧУДЖЕННЯ – ПІД ЗАБОРОНОЮ!;2021-09-28 06:29:50;
171;Новий палац спорту планують збудувати на вул. Пушкіна в Чернігові;2021-09-28 08:22:50;
172;"Ніжинського ""телефонного терориста"" засуджено";2021-09-29 05:22:23;
173;Вартість проїзду у громадському транспорті подорожчає таке рішення прийняв виконком.;2021-09-29 07:56:27;
174;Дворец Химиков в Чернигове;2021-09-29 11:51:52;
175;Черниговгаз не слышит абонентов;2021-09-29 12:14:18;
176;Поблизу Чернігова селяни не дають фермерам орати землю навколо річок;2021-09-30 06:20:03;
177;Третина малого бізнесу ще не відновила докарантинний рівень доходів;2021-09-30 05:51:31;
178;Через аварію жителі Мени лишилися без води;2021-09-30 07:32:58;
179;У Прилуцькому районі знайшовся 80-річний грибник що блукав лісом 2 доби;2021-09-30 07:44:43;
180;Відмова працівників від вакцинації не є підставою для заходів впливу з боку роботодавця – голова Комітету з трудового права НААУ;;
181;30.09.2021 Прийнято програму компенсації перевізникам за проїзд пільговиків;2021-10-01 05:18:29;
182;Тарифи не зростатимуть, запевнив Президент;2021-10-01 05:26:19;
183;Чернігівське АТП-2528 візьме у лізінг сміттєвози для роботи і техніку для прибирання міста;2021-10-01 05:51:49;
184;Зміни до порядку призначення житлових субсидій;2021-10-01 07:16:14;
185;57 громад Чернігівщини отримали картосхеми своїх територій;2021-10-01 09:42:57;
186;3 нових активні парки з’явилися на Чернігівщині;2021-10-02 07:09:30;
187;Україна повністю перешла на електронні лікарняні;2021-10-02 07:14:07;
188;Обласний центр екстреної медичної допомоги отримав 20 сучасних «швидких»;2021-10-02 07:45:31;
189;Фестиваль повітряних куль пройшов у Чернігові (фотозвіт);2021-10-02 08:12:25;
190;У Прилуках до дня міста депутати виписали собі допомогу, хворим та дітям коштів немає;2021-10-02 09:39:59;
191;Хабар $5 тисяч пропонувала керівниця Держгеокадастру за закриття провадження щодо неї;2021-10-03 06:38:11;
192;На Чернігівщині зняли фльм;2021-10-03 06:46:27;
193;Змагання з мотоспроту проходять на Новгород-Сіверщині (фотозвіт);2021-10-03 07:10:54;
194;Готель для комах у Сосниці;2021-10-04 04:45:09;
195;Резонансне вбивство поліцейського в Чернігові, серед злочинців троє неповнолітніх;2021-10-04 05:11:13;
196;Нові подробиці резонансного вбивства: драка почалася в магазині, охрана не втручалася (відео);2021-10-04 08:13:12;
197;Чемпіонка з Чернігівщини;2021-10-04 12:00:39;
198;Україна збере найбільший врожай гречки за останні 3 роки;2021-10-04 12:28:26;
199;В ніжинський лікарні температура в палатах від 8 до 14 градусів по цельсію;2021-10-04 14:03:52;
200;Вбивство поліціейського в Чернігові нові деталі та питання;2021-10-04 18:25:16;
201;У Чернігівському професійному ліцеї залізничного транспорту відкрили сучасний навчально-практичний центр;2021-10-05 05:53:45;
202;Хоробицька амбулаторія дочекалася сімейного лікаря;2021-10-05 06:55:57;
203;Як відзначили Міжнародний день музики в Борзні (фотозвіт);2021-10-05 07:15:02;
204;Прорив водогону Сновська без води 500 домогосподарств;2021-10-05 08:08:44;
205;Чемпіони з Чернігова;2021-10-05 08:29:16;
206;На Чернігівщині цієї осені висадять 26 гектарів молодого лісу;2021-10-05 12:19:08;
207;Чернігівщина йде на рекорд - середня урожайність кукурудзи найвища в Україні;2021-10-05 12:29:09;
208;Зарегистрирован аппарат дистанционного подавления коронавируса;2021-10-06 05:18:02;
209;Лихі перегони у Борзні - вантажівка збила водопровідну колонку й навіть не зупинилася;2021-10-06 05:17:24;
210;Ніжинський мер приймав громадян просто неба;2021-10-06 05:16:58;
211;Страсти по коронавирусу (фото, видео);2021-10-05 19:25:41;
212;Корюківку відвідав Франк-Вальтер Штайнмаєр;2021-10-06 13:03:44;
213;На чемпіонаті України велосипедистки з Чернігова здобули 11 медалей;2021-10-06 13:15:26;
214;В Николаеве с билбордов призывают учителей поддерживать ЛГБТ-учеников;2021-10-06 13:43:01;
215;Чернігівщина - наболіла тема опалювальний сезон. Новогорд-Сіверський термінова нарада з питань опалення;2021-10-07 04:41:58;
216;На Чернігівщині пасічники отримають дотації;2021-10-07 04:41:35;
217;У селі на Ніжинщині висохла річка і колодязі селяни б’ють на сполох;2021-10-07 04:41:10;
218;Як правильно збирати та зберігати врожай груш та яблук. Поради професіоналів;2021-10-07 05:17:51;
219;Українському сільському господарству хочуть допомогти стати більш кліматично орієнтованим;2021-10-08 05:46:42;
220;Басейн збудували а почати експлуатацію не можуть - немає рішення міської ради;2021-10-07 06:28:49;
221;У Талалаївці на Прилуччині пройшов турнір з міні-футболу для дівчат;2021-10-07 07:05:02;
222;На Чернігівщині телефонні шахраї атакують підприємців намагаючись видурити кошти;2021-10-07 07:24:26;
223;Сбой в работе WhatsApp, Instagram и Facebook подарил меседжеру Telegram 70 000 новых пользователей;2021-10-07 12:09:31;
224;В Індії нагородили поетів з Чернігова;2021-10-08 05:43:09;
